prompt,answer,label,cot_gold,pred,cot_pred,correct_pred,correct_cot
"Answer to the following question as shown in the following examples.
Dumpuses are brimpuses. Numpuses are not fast. Dumpuses are not blonde. Numpuses are heavy. Dumpuses are fast. Rompuses are not blonde. Rompuses are numpuses. Jinx is a rompus. Jinx is a brimpus.

Question: Is Jinx fast?
Think step by step.

(1) Jinx is a rompus.
(2) Each rompus is a numpus.
(3) Jinx is a numpus.
(4) Each numpus is not fast.
(5) Jinx is not fast.
Answer: No


Brimpuses are not hungry. Each yumpus is a grimpus. Each yumpus is fast. Each lempus is not tall. Lempuses are not fast. Brimpuses are lempuses. Yumpuses are not hungry. Jinx is a grimpus. Jinx is a brimpus.

Question: Is Jinx fast?
Think step by step.

(1) Jinx is a brimpus.
(2) Each brimpus is a lempus.
(3) Jinx is a lempus.
(4) Lempuses are not fast.
(5) Jinx is not fast.
Answer: No


Rompuses are wumpuses. Rompuses are not tall. Each numpus is tall. Each numpus is crazy. Lempuses are not luminous. Each rompus is not luminous. Each lempus is a numpus. Rast is a lempus. Rast is a wumpus.

Question: Is Rast tall?
Think step by step.

(1) Rast is a lempus.
(2) Each lempus is a numpus.
(3) Rast is a numpus.
(4) Numpuses are tall.
(5) Rast is tall.
Answer: Yes


Each gorpus is not fast. Gorpuses are wumpuses. Each sterpus is a lorpus. Each lorpus is heavy. Sterpuses are not fast. Gorpuses are not blonde. Each lorpus is blonde. Jinx is a sterpus. Jinx is a wumpus.

Question: Is Jinx blonde?
Think step by step.

(1) Jinx is a sterpus.
(2) Sterpuses are lorpuses.
(3) Jinx is a lorpus.
(4) Each lorpus is blonde.
(5) Jinx is blonde.
Answer: Yes


Each lempus is not luminous. Each wumpus is hungry. Yumpuses are wumpuses. Lempuses are not hungry. Wumpuses are not crazy. Lempuses are rompuses. Each yumpus is not luminous. Trux is a yumpus. Trux is a rompus.

Question: Is Trux hungry?
Think step by step.

(1) Trux is a yumpus.
(2) Yumpuses are wumpuses.
(3) Trux is a wumpus.
(4) Wumpuses are hungry.
(5) Trux is hungry.
Answer: Yes


Each shumpus is a gorpus. Each gorpus is not tall. Each tumpus is not hungry. Each gorpus is blonde. Each tumpus is tall. Each shumpus is not hungry. Tumpuses are yumpuses. Wren is a shumpus. Wren is a yumpus.

Question: Is Wren tall?
Think step by step.
","I'll help you answer the question step by step.

(1) Wren is a shumpus.
(2) Each shumpus is a gorpus.
(3) Wren is a gorpus.
(4) Each gorpus is not tall.
(5) Wren is not tall.

Answer: No",No,"['Wren is a shumpus.', 'Each shumpus is a gorpus.', 'Wren is a gorpus.', 'Gorpuses are not tall.', 'Wren is not tall.']",No,"['Wren is a shumpus.', 'Each shumpus is a gorpus.', 'Wren is a gorpus.', 'Each gorpus is not tall.', 'Wren is not tall.']",True,True
"Answer to the following question as shown in the following examples.
Each lorpus is not hungry. Vumpuses are hungry. Vumpuses are impuses. Vumpuses are not crazy. Tumpuses are lorpuses. Each lorpus is happy. Tumpuses are not crazy. Trux is a impus. Trux is a tumpus.

Question: Is Trux hungry?
Think step by step.

(1) Trux is a tumpus.
(2) Tumpuses are lorpuses.
(3) Trux is a lorpus.
(4) Lorpuses are not hungry.
(5) Trux is not hungry.
Answer: No


Impuses are not luminous. Each yumpus is tall. Each yumpus is a grimpus. Impuses are tall. Each grimpus is luminous. Impuses are zumpuses. Each grimpus is heavy. Rast is a zumpus. Rast is a yumpus.

Question: Is Rast luminous?
Think step by step.

(1) Rast is a yumpus.
(2) Each yumpus is a grimpus.
(3) Rast is a grimpus.
(4) Grimpuses are luminous.
(5) Rast is luminous.
Answer: Yes


Each tumpus is happy. Lempuses are tumpuses. Lorpuses are rompuses. Lorpuses are not happy. Each lorpus is not tall. Each lempus is not tall. Each tumpus is heavy. Rast is a rompus. Rast is a lempus.

Question: Is Rast happy?
Think step by step.

(1) Rast is a lempus.
(2) Lempuses are tumpuses.
(3) Rast is a tumpus.
(4) Tumpuses are happy.
(5) Rast is happy.
Answer: Yes


Numpuses are yumpuses. Each zumpus is a lempus. Each numpus is heavy. Each lempus is hungry. Lempuses are happy. Each zumpus is heavy. Numpuses are not happy. Jinx is a yumpus. Jinx is a zumpus.

Question: Is Jinx happy?
Think step by step.

(1) Jinx is a zumpus.
(2) Zumpuses are lempuses.
(3) Jinx is a lempus.
(4) Each lempus is happy.
(5) Jinx is happy.
Answer: Yes


Jompuses are not heavy. Each jompus is a numpus. Numpuses are hungry. Tumpuses are not heavy. Numpuses are fast. Tumpuses are wumpuses. Each tumpus is not hungry. Jinx is a jompus. Jinx is a wumpus.

Question: Is Jinx hungry?
Think step by step.

(1) Jinx is a jompus.
(2) Jompuses are numpuses.
(3) Jinx is a numpus.
(4) Numpuses are hungry.
(5) Jinx is hungry.
Answer: Yes


Each jompus is a grimpus. Wumpuses are tumpuses. Each wumpus is luminous. Each jompus is luminous. Each tumpus is not happy. Jompuses are happy. Each tumpus is blonde. Trux is a wumpus. Trux is a grimpus.

Question: Is Trux happy?
Think step by step.
","Here's the answer:

(1) Trux is a wumpus.
(2) Wumpuses are tumpuses.
(3) Trux is a tumpus.
(4) Tumpuses are not happy.
(5) Trux is not happy.

Answer: No",No,"['Trux is a wumpus.', 'Each wumpus is a tumpus.', 'Trux is a tumpus.', 'Each tumpus is not happy.', 'Trux is not happy.']",No,"['Trux is a wumpus.', 'Wumpuses are tumpuses.', 'Trux is a tumpus.', 'Tumpuses are not happy.', 'Trux is not happy.']",True,True
"Answer to the following question as shown in the following examples.
Each wumpus is fast. Each numpus is happy. Yumpuses are not heavy. Numpuses are not fast. Wumpuses are gorpuses. Each yumpus is a numpus. Wumpuses are not heavy. Jinx is a gorpus. Jinx is a yumpus.

Question: Is Jinx fast?
Think step by step.

(1) Jinx is a yumpus.
(2) Each yumpus is a numpus.
(3) Jinx is a numpus.
(4) Numpuses are not fast.
(5) Jinx is not fast.
Answer: No


Each sterpus is not luminous. Sterpuses are lempuses. Sterpuses are blonde. Each grimpus is blonde. Tumpuses are luminous. Each tumpus is not hungry. Grimpuses are tumpuses. Grom is a grimpus. Grom is a lempus.

Question: Is Grom luminous?
Think step by step.

(1) Grom is a grimpus.
(2) Grimpuses are tumpuses.
(3) Grom is a tumpus.
(4) Tumpuses are luminous.
(5) Grom is luminous.
Answer: Yes


Each sterpus is not crazy. Each vumpus is crazy. Gorpuses are hungry. Gorpuses are vumpuses. Each vumpus is not luminous. Each sterpus is hungry. Each sterpus is a lempus. Trux is a gorpus. Trux is a lempus.

Question: Is Trux crazy?
Think step by step.

(1) Trux is a gorpus.
(2) Gorpuses are vumpuses.
(3) Trux is a vumpus.
(4) Each vumpus is crazy.
(5) Trux is crazy.
Answer: Yes


Each brimpus is blonde. Wumpuses are happy. Each grimpus is not blonde. Brimpuses are tumpuses. Grimpuses are not large. Brimpuses are happy. Wumpuses are grimpuses. Wren is a tumpus. Wren is a wumpus.

Question: Is Wren blonde?
Think step by step.

(1) Wren is a wumpus.
(2) Each wumpus is a grimpus.
(3) Wren is a grimpus.
(4) Each grimpus is not blonde.
(5) Wren is not blonde.
Answer: No


Each grimpus is happy. Each lorpus is not blonde. Lempuses are not happy. Each lempus is not blonde. Lempuses are wumpuses. Grimpuses are not fast. Lorpuses are grimpuses. Trux is a wumpus. Trux is a lorpus.

Question: Is Trux happy?
Think step by step.

(1) Trux is a lorpus.
(2) Lorpuses are grimpuses.
(3) Trux is a grimpus.
(4) Each grimpus is happy.
(5) Trux is happy.
Answer: Yes


Brimpuses are not crazy. Jompuses are not crazy. Zumpuses are not blonde. Brimpuses are dumpuses. Brimpuses are not happy. Zumpuses are happy. Jompuses are zumpuses. Grom is a dumpus. Grom is a jompus.

Question: Is Grom happy?
Think step by step.
","I'll think step by step.

(1) Grom is a jompus.
(2) Jompuses are zumpuses.
(3) Grom is a zumpus.
(4) Zumpuses are happy.
(5) Grom is happy.
Answer: Yes",Yes,"['Grom is a jompus.', 'Jompuses are zumpuses.', 'Grom is a zumpus.', 'Each zumpus is happy.', 'Grom is happy.']",Yes,"['Grom is a jompus.', 'Jompuses are zumpuses.', 'Grom is a zumpus.', 'Zumpuses are happy.', 'Grom is happy.']",True,True
"Answer to the following question as shown in the following examples.
Sterpuses are not large. Each zumpus is blonde. Each grimpus is a sterpus. Sterpuses are heavy. Zumpuses are brimpuses. Each zumpus is not heavy. Grimpuses are blonde. Rast is a grimpus. Rast is a brimpus.

Question: Is Rast heavy?
Think step by step.

(1) Rast is a grimpus.
(2) Grimpuses are sterpuses.
(3) Rast is a sterpus.
(4) Each sterpus is heavy.
(5) Rast is heavy.
Answer: Yes


Each vumpus is not hungry. Each dumpus is not hungry. Each shumpus is not crazy. Each dumpus is crazy. Vumpuses are shumpuses. Each shumpus is not happy. Dumpuses are tumpuses. Grom is a vumpus. Grom is a tumpus.

Question: Is Grom crazy?
Think step by step.

(1) Grom is a vumpus.
(2) Each vumpus is a shumpus.
(3) Grom is a shumpus.
(4) Shumpuses are not crazy.
(5) Grom is not crazy.
Answer: No


Each vumpus is not fast. Each vumpus is not tall. Lempuses are impuses. Tumpuses are vumpuses. Tumpuses are not blonde. Lempuses are fast. Lempuses are not blonde. Wren is a impus. Wren is a tumpus.

Question: Is Wren fast?
Think step by step.

(1) Wren is a tumpus.
(2) Each tumpus is a vumpus.
(3) Wren is a vumpus.
(4) Each vumpus is not fast.
(5) Wren is not fast.
Answer: No


Each grimpus is not happy. Each dumpus is not tall. Each zumpus is a grimpus. Zumpuses are blonde. Each dumpus is a gorpus. Grimpuses are tall. Dumpuses are blonde. Trux is a zumpus. Trux is a gorpus.

Question: Is Trux tall?
Think step by step.

(1) Trux is a zumpus.
(2) Each zumpus is a grimpus.
(3) Trux is a grimpus.
(4) Grimpuses are tall.
(5) Trux is tall.
Answer: Yes


Each grimpus is not heavy. Grimpuses are not crazy. Grimpuses are impuses. Lorpuses are vumpuses. Each lorpus is not crazy. Vumpuses are heavy. Each vumpus is happy. Trux is a impus. Trux is a lorpus.

Question: Is Trux heavy?
Think step by step.

(1) Trux is a lorpus.
(2) Lorpuses are vumpuses.
(3) Trux is a vumpus.
(4) Vumpuses are heavy.
(5) Trux is heavy.
Answer: Yes


Each yumpus is not hungry. Each dumpus is not crazy. Each yumpus is blonde. Dumpuses are hungry. Each gorpus is a dumpus. Each yumpus is a vumpus. Gorpuses are blonde. Wren is a vumpus. Wren is a gorpus.

Question: Is Wren hungry?
Think step by step.
","I'll think step by step!

(1) Wren is a gorpus.
(2) Each gorpus is a dumpus.
(3) Wren is a dumpus.
(4) Dumpuses are hungry.
(5) Wren is hungry.

Answer: Yes",Yes,"['Wren is a gorpus.', 'Each gorpus is a dumpus.', 'Wren is a dumpus.', 'Each dumpus is hungry.', 'Wren is hungry.']",Yes,"['Wren is a gorpus.', 'Each gorpus is a dumpus.', 'Wren is a dumpus.', 'Dumpuses are hungry.', 'Wren is hungry.']",True,True
"Answer to the following question as shown in the following examples.
Each vumpus is a grimpus. Each vumpus is happy. Vumpuses are not large. Each gorpus is not happy. Rompuses are gorpuses. Each gorpus is blonde. Each rompus is not large. Jinx is a grimpus. Jinx is a rompus.

Question: Is Jinx happy?
Think step by step.

(1) Jinx is a rompus.
(2) Rompuses are gorpuses.
(3) Jinx is a gorpus.
(4) Each gorpus is not happy.
(5) Jinx is not happy.
Answer: No


Grimpuses are hungry. Tumpuses are hungry. Each grimpus is not tall. Tumpuses are brimpuses. Brimpuses are luminous. Each brimpus is tall. Grimpuses are rompuses. Trux is a rompus. Trux is a tumpus.

Question: Is Trux tall?
Think step by step.

(1) Trux is a tumpus.
(2) Each tumpus is a brimpus.
(3) Trux is a brimpus.
(4) Each brimpus is tall.
(5) Trux is tall.
Answer: Yes


Tumpuses are heavy. Each gorpus is fast. Gorpuses are tumpuses. Each grimpus is not tall. Each tumpus is tall. Each grimpus is a wumpus. Grimpuses are fast. Grom is a wumpus. Grom is a gorpus.

Question: Is Grom tall?
Think step by step.

(1) Grom is a gorpus.
(2) Each gorpus is a tumpus.
(3) Grom is a tumpus.
(4) Tumpuses are tall.
(5) Grom is tall.
Answer: Yes


Each brimpus is a vumpus. Jompuses are zumpuses. Each jompus is not fast. Vumpuses are heavy. Brimpuses are not fast. Vumpuses are hungry. Each jompus is not heavy. Grom is a brimpus. Grom is a zumpus.

Question: Is Grom heavy?
Think step by step.

(1) Grom is a brimpus.
(2) Brimpuses are vumpuses.
(3) Grom is a vumpus.
(4) Vumpuses are heavy.
(5) Grom is heavy.
Answer: Yes


Each tumpus is a sterpus. Sterpuses are blonde. Each grimpus is hungry. Each tumpus is hungry. Each grimpus is a wumpus. Sterpuses are luminous. Each grimpus is not luminous. Wren is a wumpus. Wren is a tumpus.

Question: Is Wren luminous?
Think step by step.

(1) Wren is a tumpus.
(2) Each tumpus is a sterpus.
(3) Wren is a sterpus.
(4) Each sterpus is luminous.
(5) Wren is luminous.
Answer: Yes


Brimpuses are large. Rompuses are sterpuses. Brimpuses are not crazy. Each sterpus is not large. Each brimpus is a shumpus. Each sterpus is not hungry. Rompuses are not crazy. Jinx is a rompus. Jinx is a shumpus.

Question: Is Jinx large?
Think step by step.
","Let's think step by step.

(1) Jinx is a rompus.
(2) Rompuses are sterpuses.
(3) Jinx is a sterpus.
(4) Each sterpus is not large.
(5) Jinx is not large.

Answer: No",No,"['Jinx is a rompus.', 'Each rompus is a sterpus.', 'Jinx is a sterpus.', 'Sterpuses are not large.', 'Jinx is not large.']",No,"['Jinx is a rompus.', 'Rompuses are sterpuses.', 'Jinx is a sterpus.', 'Each sterpus is not large.', 'Jinx is not large.']",True,True
"Answer to the following question as shown in the following examples.
Grimpuses are hungry. Each grimpus is a vumpus. Each jompus is hungry. Grimpuses are not large. Each rompus is large. Each jompus is a rompus. Each rompus is luminous. Rast is a jompus. Rast is a vumpus.

Question: Is Rast large?
Think step by step.

(1) Rast is a jompus.
(2) Each jompus is a rompus.
(3) Rast is a rompus.
(4) Rompuses are large.
(5) Rast is large.
Answer: Yes


Each numpus is not large. Each dumpus is a lorpus. Numpuses are happy. Each dumpus is large. Vumpuses are not tall. Each dumpus is not tall. Vumpuses are numpuses. Wren is a vumpus. Wren is a lorpus.

Question: Is Wren large?
Think step by step.

(1) Wren is a vumpus.
(2) Vumpuses are numpuses.
(3) Wren is a numpus.
(4) Each numpus is not large.
(5) Wren is not large.
Answer: No


Each tumpus is a grimpus. Each tumpus is happy. Lempuses are yumpuses. Yumpuses are hungry. Yumpuses are blonde. Each lempus is happy. Each tumpus is not blonde. Rast is a grimpus. Rast is a lempus.

Question: Is Rast blonde?
Think step by step.

(1) Rast is a lempus.
(2) Lempuses are yumpuses.
(3) Rast is a yumpus.
(4) Each yumpus is blonde.
(5) Rast is blonde.
Answer: Yes


Rompuses are luminous. Vumpuses are tumpuses. Each lorpus is happy. Each vumpus is happy. Vumpuses are not luminous. Lorpuses are rompuses. Rompuses are crazy. Wren is a tumpus. Wren is a lorpus.

Question: Is Wren luminous?
Think step by step.

(1) Wren is a lorpus.
(2) Each lorpus is a rompus.
(3) Wren is a rompus.
(4) Rompuses are luminous.
(5) Wren is luminous.
Answer: Yes


Each brimpus is crazy. Wumpuses are not happy. Brimpuses are wumpuses. Wumpuses are heavy. Lorpuses are not heavy. Each lorpus is crazy. Each lorpus is a grimpus. Rast is a brimpus. Rast is a grimpus.

Question: Is Rast heavy?
Think step by step.

(1) Rast is a brimpus.
(2) Each brimpus is a wumpus.
(3) Rast is a wumpus.
(4) Each wumpus is heavy.
(5) Rast is heavy.
Answer: Yes


Each shumpus is not hungry. Shumpuses are not heavy. Vumpuses are large. Each vumpus is heavy. Yumpuses are not hungry. Each yumpus is a vumpus. Each shumpus is a wumpus. Trux is a yumpus. Trux is a wumpus.

Question: Is Trux heavy?
Think step by step.
","I'll help you answer the question step by step.

(1) Trux is a yumpus.
(2) Each yumpus is a vumpus.
(3) Trux is a vumpus.
(4) Each vumpus is heavy.
(5) Trux is heavy.
Answer: Yes",Yes,"['Trux is a yumpus.', 'Yumpuses are vumpuses.', 'Trux is a vumpus.', 'Vumpuses are heavy.', 'Trux is heavy.']",Yes,"['Trux is a yumpus.', 'Each yumpus is a vumpus.', 'Trux is a vumpus.', 'Each vumpus is heavy.', 'Trux is heavy.']",True,True
"Answer to the following question as shown in the following examples.
Wumpuses are not luminous. Each impus is not fast. Each wumpus is a lorpus. Impuses are rompuses. Wumpuses are not fast. Each rompus is hungry. Rompuses are luminous. Jinx is a lorpus. Jinx is a impus.

Question: Is Jinx luminous?
Think step by step.

(1) Jinx is a impus.
(2) Each impus is a rompus.
(3) Jinx is a rompus.
(4) Rompuses are luminous.
(5) Jinx is luminous.
Answer: Yes


Sterpuses are shumpuses. Each lempus is blonde. Each shumpus is happy. Shumpuses are not blonde. Each lempus is a tumpus. Lempuses are large. Sterpuses are large. Grom is a tumpus. Grom is a sterpus.

Question: Is Grom blonde?
Think step by step.

(1) Grom is a sterpus.
(2) Each sterpus is a shumpus.
(3) Grom is a shumpus.
(4) Each shumpus is not blonde.
(5) Grom is not blonde.
Answer: No


Each numpus is not tall. Each impus is not tall. Numpuses are tumpuses. Rompuses are luminous. Each rompus is not crazy. Each impus is a rompus. Each numpus is crazy. Trux is a impus. Trux is a tumpus.

Question: Is Trux crazy?
Think step by step.

(1) Trux is a impus.
(2) Impuses are rompuses.
(3) Trux is a rompus.
(4) Rompuses are not crazy.
(5) Trux is not crazy.
Answer: No


Each zumpus is not tall. Impuses are zumpuses. Impuses are not blonde. Gorpuses are tall. Each gorpus is not blonde. Each gorpus is a numpus. Zumpuses are luminous. Rast is a numpus. Rast is a impus.

Question: Is Rast tall?
Think step by step.

(1) Rast is a impus.
(2) Each impus is a zumpus.
(3) Rast is a zumpus.
(4) Each zumpus is not tall.
(5) Rast is not tall.
Answer: No


Each zumpus is not luminous. Tumpuses are not large. Tumpuses are impuses. Numpuses are happy. Each zumpus is a numpus. Tumpuses are not luminous. Each numpus is large. Trux is a zumpus. Trux is a impus.

Question: Is Trux large?
Think step by step.

(1) Trux is a zumpus.
(2) Zumpuses are numpuses.
(3) Trux is a numpus.
(4) Numpuses are large.
(5) Trux is large.
Answer: Yes


Each jompus is a yumpus. Brimpuses are not luminous. Each brimpus is a tumpus. Brimpuses are not fast. Each jompus is not fast. Each yumpus is luminous. Each yumpus is heavy. Jinx is a jompus. Jinx is a tumpus.

Question: Is Jinx luminous?
Think step by step.
","Let's think step by step.

(1) Jinx is a jompus.
(2) Each jompus is a yumpus.
(3) Jinx is a yumpus.
(4) Each yumpus is luminous.
(5) Jinx is luminous.

Answer: Yes",Yes,"['Jinx is a jompus.', 'Jompuses are yumpuses.', 'Jinx is a yumpus.', 'Each yumpus is luminous.', 'Jinx is luminous.']",Yes,"['Jinx is a jompus.', 'Each jompus is a yumpus.', 'Jinx is a yumpus.', 'Each yumpus is luminous.', 'Jinx is luminous.']",True,True
"Answer to the following question as shown in the following examples.
Wumpuses are dumpuses. Impuses are not happy. Lorpuses are impuses. Wumpuses are large. Each wumpus is luminous. Impuses are not large. Lorpuses are luminous. Jinx is a dumpus. Jinx is a lorpus.

Question: Is Jinx large?
Think step by step.

(1) Jinx is a lorpus.
(2) Each lorpus is a impus.
(3) Jinx is a impus.
(4) Impuses are not large.
(5) Jinx is not large.
Answer: No


Lempuses are shumpuses. Each rompus is blonde. Lempuses are not luminous. Each rompus is not crazy. Yumpuses are rompuses. Yumpuses are not luminous. Each lempus is crazy. Rast is a shumpus. Rast is a yumpus.

Question: Is Rast crazy?
Think step by step.

(1) Rast is a yumpus.
(2) Yumpuses are rompuses.
(3) Rast is a rompus.
(4) Each rompus is not crazy.
(5) Rast is not crazy.
Answer: No


Lorpuses are numpuses. Each wumpus is not happy. Lorpuses are not tall. Numpuses are happy. Each numpus is fast. Each wumpus is a sterpus. Wumpuses are not tall. Grom is a sterpus. Grom is a lorpus.

Question: Is Grom happy?
Think step by step.

(1) Grom is a lorpus.
(2) Each lorpus is a numpus.
(3) Grom is a numpus.
(4) Each numpus is happy.
(5) Grom is happy.
Answer: Yes


Each gorpus is luminous. Each lempus is not heavy. Each jompus is luminous. Lempuses are not blonde. Each jompus is a lempus. Each gorpus is heavy. Gorpuses are brimpuses. Grom is a brimpus. Grom is a jompus.

Question: Is Grom heavy?
Think step by step.

(1) Grom is a jompus.
(2) Jompuses are lempuses.
(3) Grom is a lempus.
(4) Each lempus is not heavy.
(5) Grom is not heavy.
Answer: No


Jompuses are not luminous. Each jompus is not heavy. Gorpuses are vumpuses. Gorpuses are not luminous. Each jompus is a shumpus. Vumpuses are tall. Vumpuses are heavy. Jinx is a shumpus. Jinx is a gorpus.

Question: Is Jinx heavy?
Think step by step.

(1) Jinx is a gorpus.
(2) Gorpuses are vumpuses.
(3) Jinx is a vumpus.
(4) Vumpuses are heavy.
(5) Jinx is heavy.
Answer: Yes


Brimpuses are numpuses. Brimpuses are blonde. Each shumpus is blonde. Shumpuses are happy. Each numpus is not happy. Shumpuses are gorpuses. Each numpus is not tall. Wren is a brimpus. Wren is a gorpus.

Question: Is Wren happy?
Think step by step.
","I'll think step by step!

(1) Wren is a brimpus.
(2) Brimpuses are numpuses.
(3) Wren is a numpus.
(4) Each numpus is not happy.
(5) Wren is not happy.
Answer: No",No,"['Wren is a brimpus.', 'Brimpuses are numpuses.', 'Wren is a numpus.', 'Each numpus is not happy.', 'Wren is not happy.']",No,"['Wren is a brimpus.', 'Brimpuses are numpuses.', 'Wren is a numpus.', 'Each numpus is not happy.', 'Wren is not happy.']",True,True
"Answer to the following question as shown in the following examples.
Each gorpus is not heavy. Yumpuses are fast. Jompuses are yumpuses. Yumpuses are hungry. Gorpuses are zumpuses. Jompuses are not heavy. Gorpuses are not fast. Trux is a jompus. Trux is a zumpus.

Question: Is Trux fast?
Think step by step.

(1) Trux is a jompus.
(2) Each jompus is a yumpus.
(3) Trux is a yumpus.
(4) Each yumpus is fast.
(5) Trux is fast.
Answer: Yes


Each numpus is a yumpus. Yumpuses are not happy. Each tumpus is a rompus. Tumpuses are large. Each yumpus is crazy. Numpuses are large. Tumpuses are not crazy. Trux is a rompus. Trux is a numpus.

Question: Is Trux crazy?
Think step by step.

(1) Trux is a numpus.
(2) Numpuses are yumpuses.
(3) Trux is a yumpus.
(4) Each yumpus is crazy.
(5) Trux is crazy.
Answer: Yes


Each gorpus is not luminous. Each grimpus is a gorpus. Tumpuses are rompuses. Tumpuses are not hungry. Tumpuses are not blonde. Grimpuses are not hungry. Each gorpus is blonde. Grom is a rompus. Grom is a grimpus.

Question: Is Grom blonde?
Think step by step.

(1) Grom is a grimpus.
(2) Each grimpus is a gorpus.
(3) Grom is a gorpus.
(4) Each gorpus is blonde.
(5) Grom is blonde.
Answer: Yes


Each brimpus is a tumpus. Each brimpus is happy. Each brimpus is not hungry. Lorpuses are hungry. Vumpuses are lorpuses. Lorpuses are luminous. Each vumpus is happy. Trux is a tumpus. Trux is a vumpus.

Question: Is Trux hungry?
Think step by step.

(1) Trux is a vumpus.
(2) Each vumpus is a lorpus.
(3) Trux is a lorpus.
(4) Lorpuses are hungry.
(5) Trux is hungry.
Answer: Yes


Impuses are blonde. Impuses are not happy. Impuses are numpuses. Vumpuses are not blonde. Each gorpus is not happy. Each gorpus is a vumpus. Each vumpus is luminous. Wren is a numpus. Wren is a gorpus.

Question: Is Wren blonde?
Think step by step.

(1) Wren is a gorpus.
(2) Each gorpus is a vumpus.
(3) Wren is a vumpus.
(4) Vumpuses are not blonde.
(5) Wren is not blonde.
Answer: No


Impuses are hungry. Impuses are fast. Each numpus is fast. Each impus is a gorpus. Each sterpus is not hungry. Numpuses are sterpuses. Sterpuses are not blonde. Jinx is a gorpus. Jinx is a numpus.

Question: Is Jinx hungry?
Think step by step.
","I'll think step by step!

(1) Jinx is a gorpus.
(2) Each gorpus is a numpus.
(3) Jinx is a numpus.
(4) Numpuses are impuses.
(5) Jinx is an impus.
(6) Impuses are hungry.
(7) Jinx is hungry.

Answer: Yes",No,"['Jinx is a numpus.', 'Each numpus is a sterpus.', 'Jinx is a sterpus.', 'Each sterpus is not hungry.', 'Jinx is not hungry.']",Yes,"['Jinx is a gorpus.', 'Each gorpus is a numpus.', 'Jinx is a numpus.', 'Numpuses are impuses.', 'Jinx is an impus.', 'Impuses are hungry.', 'Jinx is hungry.']",False,False
"Answer to the following question as shown in the following examples.
Each tumpus is not happy. Each zumpus is hungry. Each zumpus is a yumpus. Numpuses are tumpuses. Tumpuses are not fast. Each numpus is hungry. Each zumpus is happy. Grom is a numpus. Grom is a yumpus.

Question: Is Grom happy?
Think step by step.

(1) Grom is a numpus.
(2) Each numpus is a tumpus.
(3) Grom is a tumpus.
(4) Tumpuses are not happy.
(5) Grom is not happy.
Answer: No


Each dumpus is not fast. Each brimpus is large. Shumpuses are not tall. Dumpuses are shumpuses. Shumpuses are not large. Each brimpus is a rompus. Brimpuses are not fast. Trux is a rompus. Trux is a dumpus.

Question: Is Trux large?
Think step by step.

(1) Trux is a dumpus.
(2) Dumpuses are shumpuses.
(3) Trux is a shumpus.
(4) Each shumpus is not large.
(5) Trux is not large.
Answer: No


Each wumpus is tall. Each wumpus is a tumpus. Lorpuses are tall. Each jompus is luminous. Each jompus is crazy. Lorpuses are jompuses. Each wumpus is not crazy. Jinx is a lorpus. Jinx is a tumpus.

Question: Is Jinx crazy?
Think step by step.

(1) Jinx is a lorpus.
(2) Each lorpus is a jompus.
(3) Jinx is a jompus.
(4) Each jompus is crazy.
(5) Jinx is crazy.
Answer: Yes


Each gorpus is not hungry. Impuses are not happy. Shumpuses are not luminous. Each gorpus is a zumpus. Shumpuses are hungry. Gorpuses are not happy. Each impus is a shumpus. Wren is a impus. Wren is a zumpus.

Question: Is Wren hungry?
Think step by step.

(1) Wren is a impus.
(2) Each impus is a shumpus.
(3) Wren is a shumpus.
(4) Each shumpus is hungry.
(5) Wren is hungry.
Answer: Yes


Zumpuses are not blonde. Zumpuses are dumpuses. Each rompus is a numpus. Rompuses are crazy. Each zumpus is crazy. Numpuses are happy. Numpuses are blonde. Wren is a dumpus. Wren is a rompus.

Question: Is Wren blonde?
Think step by step.

(1) Wren is a rompus.
(2) Rompuses are numpuses.
(3) Wren is a numpus.
(4) Each numpus is blonde.
(5) Wren is blonde.
Answer: Yes


Each tumpus is a yumpus. Jompuses are tall. Each wumpus is not blonde. Tumpuses are blonde. Tumpuses are tall. Each jompus is a wumpus. Each wumpus is large. Rast is a yumpus. Rast is a jompus.

Question: Is Rast blonde?
Think step by step.
","Let's think step by step.

(1) Rast is a yumpus.
(2) Each tumpus is a yumpus.
(3) Rast is a tumpus.
(4) Tumpuses are blonde.
(5) Rast is blonde.

Answer: Yes",No,"['Rast is a jompus.', 'Jompuses are wumpuses.', 'Rast is a wumpus.', 'Wumpuses are not blonde.', 'Rast is not blonde.']",Yes,"['Rast is a yumpus.', 'Each tumpus is a yumpus.', 'Rast is a tumpus.', 'Tumpuses are blonde.', 'Rast is blonde.']",False,False
