,prompt,label,cot_gold,pred,cot_pred,correct_pred,correct_cot
0,"Answer Yes or No to the following question. Answer as in the examples.
Each numpus is tall. Sterpuses are not crazy. Numpuses are sterpus. Each sterpus is large. Jompuses are crazy. Each jompus is tall. Each jompus is a lorpus. Grom is a lorpus. Grom is a numpus.

Question: Is Grom crazy?

Answer: No


Numpuses are blonde. Each tumpus is blonde. Wumpuses are not happy. Each numpus is a jompus. Tumpuses are wumpus. Wumpuses are not crazy. Each numpus is happy. Grom is a jompus. Grom is a tumpus.

Question: Is Grom happy?

Answer: No


Each grimpus is a vumpus. Each grimpus is luminous. Each impus is luminous. Vumpuses are not large. Each impus is a sterpus. Vumpuses are not tall. Impuses are tall. Jinx is a grimpus. Jinx is a sterpus.

Question: Is Jinx tall?

Answer: No


Each wumpus is fast. Each brimpus is a wumpus. Each grimpus is a jompus. Each wumpus is luminous. Each grimpus is not fast. Each grimpus is not crazy. Brimpuses are not crazy. Jinx is a jompus. Jinx is a brimpus.

Question: Is Jinx fast?
",Yes,"['Jinx is a brimpus.', 'Brimpuses are wumpus.', 'Jinx is a wumpus.', 'Wumpuses are fast.', 'Jinx is fast.']",No,[],False,True
1,"Answer Yes or No to the following question. Answer as in the examples.
Each numpus is not blonde. Each lempus is luminous. Numpuses are grimpus. Tumpuses are lempus. Tumpuses are not blonde. Each lempus is not happy. Numpuses are happy. Rast is a grimpus. Rast is a tumpus.

Question: Is Rast happy?

Answer: No


Jompuses are not tall. Each grimpus is a wumpus. Grimpuses are not tall. Sterpuses are not hungry. Grimpuses are hungry. Each sterpus is large. Jompuses are sterpus. Rast is a wumpus. Rast is a jompus.

Question: Is Rast hungry?

Answer: No


Each lempus is a rompus. Each dumpus is luminous. Lempuses are not luminous. Each lempus is not crazy. Tumpuses are dumpus. Each dumpus is not heavy. Each tumpus is not crazy. Wren is a rompus. Wren is a tumpus.

Question: Is Wren luminous?

Answer: Yes


Zumpuses are heavy. Each sterpus is heavy. Each sterpus is not blonde. Each brimpus is blonde. Each brimpus is crazy. Sterpuses are lempus. Each zumpus is a brimpus. Rast is a zumpus. Rast is a lempus.

Question: Is Rast blonde?
",Yes,"['Rast is a zumpus.', 'Each zumpus is a brimpus.', 'Rast is a brimpus.', 'Brimpuses are blonde.', 'Rast is blonde.']",No,[],False,True
2,"Answer Yes or No to the following question. Answer as in the examples.
Zumpuses are not happy. Sterpuses are tall. Each lorpus is happy. Sterpuses are zumpus. Each lorpus is a vumpus. Each lorpus is tall. Zumpuses are luminous. Trux is a vumpus. Trux is a sterpus.

Question: Is Trux happy?

Answer: No


Vumpuses are lempus. Each sterpus is not blonde. Vumpuses are not large. Vumpuses are happy. Gorpuses are happy. Gorpuses are sterpus. Sterpuses are large. Trux is a gorpus. Trux is a lempus.

Question: Is Trux large?

Answer: Yes


Gorpuses are dumpus. Each gorpus is not luminous. Each brimpus is a wumpus. Each dumpus is tall. Each brimpus is not tall. Brimpuses are not luminous. Each dumpus is blonde. Jinx is a wumpus. Jinx is a gorpus.

Question: Is Jinx tall?

Answer: Yes


Impuses are hungry. Lempuses are not fast. Each impus is a lempus. Each sterpus is a rompus. Each sterpus is hungry. Lempuses are luminous. Sterpuses are fast. Jinx is a rompus. Jinx is a impus.

Question: Is Jinx fast?
",No,"['Jinx is a impus.', 'Impuses are lempus.', 'Jinx is a lempus.', 'Each lempus is not fast.', 'Jinx is not fast.']",No,[],True,True
3,"Answer Yes or No to the following question. Answer as in the examples.
Shumpuses are tall. Jompuses are not tall. Each shumpus is a wumpus. Grimpuses are jompus. Grimpuses are happy. Each jompus is not large. Each shumpus is happy. Trux is a grimpus. Trux is a wumpus.

Question: Is Trux tall?

Answer: No


Lorpuses are not happy. Grimpuses are happy. Lorpuses are not hungry. Each jompus is a lorpus. Jompuses are blonde. Each grimpus is a vumpus. Each grimpus is blonde. Rast is a jompus. Rast is a vumpus.

Question: Is Rast happy?

Answer: No


Each grimpus is not luminous. Each wumpus is a dumpus. Each yumpus is a grimpus. Each wumpus is large. Wumpuses are hungry. Each yumpus is large. Each grimpus is not hungry. Wren is a dumpus. Wren is a yumpus.

Question: Is Wren hungry?

Answer: No


Gorpuses are not crazy. Each gorpus is a numpus. Brimpuses are rompus. Each gorpus is heavy. Each brimpus is not crazy. Rompuses are not heavy. Rompuses are not luminous. Rast is a brimpus. Rast is a numpus.

Question: Is Rast heavy?
",No,"['Rast is a brimpus.', 'Brimpuses are rompus.', 'Rast is a rompus.', 'Rompuses are not heavy.', 'Rast is not heavy.']",No,[],True,True
4,"Answer Yes or No to the following question. Answer as in the examples.
Each zumpus is not blonde. Gorpuses are not crazy. Each sterpus is a zumpus. Each sterpus is large. Gorpuses are large. Gorpuses are grimpus. Each zumpus is crazy. Grom is a sterpus. Grom is a grimpus.

Question: Is Grom crazy?

Answer: Yes


Each rompus is not hungry. Each rompus is a sterpus. Numpuses are hungry. Each rompus is heavy. Each numpus is not fast. Grimpuses are numpus. Each grimpus is heavy. Wren is a sterpus. Wren is a grimpus.

Question: Is Wren hungry?

Answer: Yes


Tumpuses are wumpus. Each wumpus is not happy. Lempuses are blonde. Lempuses are dumpus. Lempuses are happy. Each wumpus is large. Each tumpus is blonde. Jinx is a tumpus. Jinx is a dumpus.

Question: Is Jinx happy?

Answer: No


Each rompus is a grimpus. Grimpuses are not crazy. Each grimpus is fast. Rompuses are large. Each brimpus is crazy. Brimpuses are sterpus. Brimpuses are large. Jinx is a rompus. Jinx is a sterpus.

Question: Is Jinx crazy?
",No,"['Jinx is a rompus.', 'Each rompus is a grimpus.', 'Jinx is a grimpus.', 'Each grimpus is not crazy.', 'Jinx is not crazy.']",Yes,[],False,True
5,"Answer Yes or No to the following question. Answer as in the examples.
Each impus is a lorpus. Each yumpus is a gorpus. Lorpuses are heavy. Yumpuses are not large. Yumpuses are not heavy. Impuses are not large. Each lorpus is not blonde. Trux is a gorpus. Trux is a impus.

Question: Is Trux heavy?

Answer: Yes


Each impus is blonde. Shumpuses are numpus. Each shumpus is not blonde. Each shumpus is not large. Each yumpus is a impus. Impuses are not heavy. Yumpuses are not large. Rast is a yumpus. Rast is a numpus.

Question: Is Rast blonde?

Answer: Yes


Gorpuses are happy. Gorpuses are tall. Grimpuses are gorpus. Each lorpus is not happy. Lorpuses are sterpus. Each lorpus is large. Grimpuses are large. Trux is a grimpus. Trux is a sterpus.

Question: Is Trux happy?

Answer: Yes


Numpuses are shumpus. Each rompus is not crazy. Numpuses are not crazy. Shumpuses are not hungry. Each rompus is a lorpus. Each shumpus is not happy. Each rompus is happy. Trux is a lorpus. Trux is a numpus.

Question: Is Trux happy?
",No,"['Trux is a numpus.', 'Each numpus is a shumpus.', 'Trux is a shumpus.', 'Each shumpus is not happy.', 'Trux is not happy.']",Yes,[],False,True
6,"Answer Yes or No to the following question. Answer as in the examples.
Lempuses are not happy. Each lempus is a numpus. Each gorpus is crazy. Vumpuses are gorpus. Vumpuses are not happy. Gorpuses are large. Lempuses are not large. Grom is a numpus. Grom is a vumpus.

Question: Is Grom large?

Answer: Yes


Lorpuses are not blonde. Sterpuses are blonde. Each shumpus is a sterpus. Sterpuses are large. Each shumpus is crazy. Each lorpus is crazy. Each lorpus is a lempus. Rast is a lempus. Rast is a shumpus.

Question: Is Rast blonde?

Answer: Yes


Each zumpus is a wumpus. Each zumpus is not luminous. Tumpuses are sterpus. Zumpuses are crazy. Sterpuses are large. Sterpuses are luminous. Each tumpus is crazy. Trux is a wumpus. Trux is a tumpus.

Question: Is Trux luminous?

Answer: Yes


Each numpus is a dumpus. Each numpus is not heavy. Rompuses are sterpus. Sterpuses are fast. Rompuses are not tall. Numpuses are not tall. Sterpuses are heavy. Grom is a rompus. Grom is a dumpus.

Question: Is Grom heavy?
",Yes,"['Grom is a rompus.', 'Rompuses are sterpus.', 'Grom is a sterpus.', 'Sterpuses are heavy.', 'Grom is heavy.']",Yes,[],True,True
7,"Answer Yes or No to the following question. Answer as in the examples.
Each lorpus is a impus. Impuses are not fast. Numpuses are tumpus. Lorpuses are tall. Impuses are happy. Each numpus is fast. Numpuses are tall. Jinx is a tumpus. Jinx is a lorpus.

Question: Is Jinx fast?

Answer: No


Gorpuses are tall. Each grimpus is not tall. Gorpuses are large. Each shumpus is a grimpus. Shumpuses are large. Each gorpus is a vumpus. Grimpuses are not hungry. Grom is a vumpus. Grom is a shumpus.

Question: Is Grom tall?

Answer: No


Brimpuses are luminous. Each lempus is a brimpus. Lorpuses are large. Each lorpus is not luminous. Lempuses are large. Each lorpus is a vumpus. Brimpuses are blonde. Wren is a lempus. Wren is a vumpus.

Question: Is Wren luminous?

Answer: Yes


Tumpuses are gorpus. Each shumpus is a wumpus. Shumpuses are not luminous. Gorpuses are not tall. Each shumpus is happy. Each gorpus is luminous. Each tumpus is happy. Wren is a wumpus. Wren is a tumpus.

Question: Is Wren luminous?
",Yes,"['Wren is a tumpus.', 'Each tumpus is a gorpus.', 'Wren is a gorpus.', 'Gorpuses are luminous.', 'Wren is luminous.']",Yes,[],True,True
8,"Answer Yes or No to the following question. Answer as in the examples.
Rompuses are lorpus. Rompuses are luminous. Each wumpus is a tumpus. Tumpuses are large. Each wumpus is luminous. Tumpuses are not fast. Rompuses are not large. Trux is a lorpus. Trux is a wumpus.

Question: Is Trux large?

Answer: Yes


Brimpuses are crazy. Each vumpus is a rompus. Rompuses are tall. Brimpuses are heavy. Rompuses are not crazy. Vumpuses are heavy. Brimpuses are tumpus. Trux is a vumpus. Trux is a tumpus.

Question: Is Trux crazy?

Answer: No


Sterpuses are not heavy. Each impus is a numpus. Sterpuses are rompus. Rompuses are not large. Impuses are large. Rompuses are not crazy. Impuses are not heavy. Grom is a sterpus. Grom is a numpus.

Question: Is Grom large?

Answer: No


Rompuses are large. Each rompus is a impus. Dumpuses are large. Each dumpus is a gorpus. Gorpuses are blonde. Each rompus is fast. Each gorpus is not fast. Rast is a dumpus. Rast is a impus.

Question: Is Rast fast?
",No,"['Rast is a dumpus.', 'Each dumpus is a gorpus.', 'Rast is a gorpus.', 'Gorpuses are not fast.', 'Rast is not fast.']",No,[],True,True
9,"Answer Yes or No to the following question. Answer as in the examples.
Lempuses are not heavy. Lempuses are crazy. Each numpus is a grimpus. Lempuses are brimpus. Numpuses are crazy. Each grimpus is not luminous. Grimpuses are heavy. Rast is a brimpus. Rast is a numpus.

Question: Is Rast heavy?

Answer: Yes


Each lempus is not hungry. Numpuses are blonde. Numpuses are not large. Each lempus is a jompus. Each lempus is large. Dumpuses are numpus. Dumpuses are not hungry. Rast is a jompus. Rast is a dumpus.

Question: Is Rast large?

Answer: No


Sterpuses are not hungry. Each lorpus is a impus. Each jompus is a sterpus. Sterpuses are heavy. Lorpuses are tall. Jompuses are tall. Lorpuses are hungry. Rast is a impus. Rast is a jompus.

Question: Is Rast hungry?

Answer: No


Each shumpus is tall. Each lempus is a shumpus. Each lempus is not blonde. Gorpuses are sterpus. Each gorpus is not blonde. Shumpuses are happy. Each gorpus is not tall. Jinx is a sterpus. Jinx is a lempus.

Question: Is Jinx tall?
",Yes,"['Jinx is a lempus.', 'Lempuses are shumpus.', 'Jinx is a shumpus.', 'Each shumpus is tall.', 'Jinx is tall.']",No,[],False,True
10,"Answer Yes or No to the following question. Answer as in the examples.
Lempuses are crazy. Each numpus is a sterpus. Lempuses are luminous. Gorpuses are lempus. Each numpus is not crazy. Each numpus is not happy. Gorpuses are not happy. Jinx is a sterpus. Jinx is a gorpus.

Question: Is Jinx crazy?

Answer: Yes


Wumpuses are fast. Each yumpus is a lempus. Wumpuses are tall. Each rompus is luminous. Rompuses are wumpus. Each yumpus is luminous. Each yumpus is not tall. Trux is a rompus. Trux is a lempus.

Question: Is Trux tall?

Answer: Yes


Each grimpus is not large. Lempuses are grimpus. Each lempus is happy. Each grimpus is not tall. Each gorpus is tall. Gorpuses are happy. Gorpuses are lorpus. Grom is a lempus. Grom is a lorpus.

Question: Is Grom tall?

Answer: No


Each yumpus is tall. Each gorpus is crazy. Each gorpus is not tall. Each tumpus is crazy. Tumpuses are yumpus. Each yumpus is blonde. Gorpuses are brimpus. Wren is a tumpus. Wren is a brimpus.

Question: Is Wren tall?
",Yes,"['Wren is a tumpus.', 'Each tumpus is a yumpus.', 'Wren is a yumpus.', 'Each yumpus is tall.', 'Wren is tall.']",No,[],False,True
11,"Answer Yes or No to the following question. Answer as in the examples.
Impuses are crazy. Lempuses are not large. Gorpuses are not blonde. Each gorpus is a lempus. Impuses are not blonde. Impuses are dumpus. Lempuses are not crazy. Rast is a dumpus. Rast is a gorpus.

Question: Is Rast crazy?

Answer: No


Numpuses are not hungry. Rompuses are sterpus. Each jompus is blonde. Each jompus is a numpus. Each numpus is not luminous. Each rompus is blonde. Each rompus is luminous. Jinx is a jompus. Jinx is a sterpus.

Question: Is Jinx luminous?

Answer: No


Brimpuses are crazy. Wumpuses are brimpus. Rompuses are zumpus. Each brimpus is fast. Each wumpus is happy. Each rompus is not crazy. Rompuses are happy. Rast is a wumpus. Rast is a zumpus.

Question: Is Rast crazy?

Answer: Yes


Each yumpus is heavy. Each shumpus is not heavy. Shumpuses are not happy. Gorpuses are yumpus. Each shumpus is a jompus. Each gorpus is not happy. Each yumpus is not crazy. Jinx is a jompus. Jinx is a gorpus.

Question: Is Jinx heavy?
",Yes,"['Jinx is a gorpus.', 'Each gorpus is a yumpus.', 'Jinx is a yumpus.', 'Yumpuses are heavy.', 'Jinx is heavy.']",Yes,[],True,True
12,"Answer Yes or No to the following question. Answer as in the examples.
Grimpuses are not happy. Grimpuses are shumpus. Each tumpus is fast. Each tumpus is happy. Each grimpus is heavy. Lorpuses are heavy. Lorpuses are tumpus. Jinx is a shumpus. Jinx is a lorpus.

Question: Is Jinx happy?

Answer: Yes


Each sterpus is tall. Each sterpus is a rompus. Each rompus is not fast. Each tumpus is fast. Tumpuses are lempus. Tumpuses are tall. Rompuses are not crazy. Jinx is a lempus. Jinx is a sterpus.

Question: Is Jinx fast?

Answer: No


Zumpuses are yumpus. Shumpuses are crazy. Numpuses are hungry. Each zumpus is not hungry. Each shumpus is a numpus. Each zumpus is crazy. Numpuses are tall. Rast is a shumpus. Rast is a yumpus.

Question: Is Rast hungry?

Answer: Yes


Each tumpus is a impus. Each tumpus is not large. Vumpuses are crazy. Each vumpus is a numpus. Each impus is not crazy. Impuses are hungry. Vumpuses are not large. Trux is a numpus. Trux is a tumpus.

Question: Is Trux crazy?
",No,"['Trux is a tumpus.', 'Tumpuses are impus.', 'Trux is a impus.', 'Each impus is not crazy.', 'Trux is not crazy.']",Yes,[],False,True
13,"Answer Yes or No to the following question. Answer as in the examples.
Each grimpus is not fast. Each jompus is a lorpus. Grimpuses are hungry. Each jompus is heavy. Sterpuses are grimpus. Each jompus is fast. Sterpuses are heavy. Grom is a lorpus. Grom is a sterpus.

Question: Is Grom fast?

Answer: No


Each yumpus is not crazy. Each rompus is not crazy. Each yumpus is a impus. Rompuses are brimpus. Impuses are not large. Each impus is hungry. Each rompus is large. Jinx is a yumpus. Jinx is a brimpus.

Question: Is Jinx large?

Answer: No


Tumpuses are numpus. Dumpuses are not tall. Lempuses are blonde. Each tumpus is not tall. Lempuses are crazy. Tumpuses are not blonde. Each dumpus is a lempus. Jinx is a numpus. Jinx is a dumpus.

Question: Is Jinx blonde?

Answer: Yes


Each gorpus is a numpus. Shumpuses are not luminous. Numpuses are not heavy. Shumpuses are heavy. Each gorpus is not luminous. Each shumpus is a yumpus. Each numpus is not large. Grom is a yumpus. Grom is a gorpus.

Question: Is Grom heavy?
",No,"['Grom is a gorpus.', 'Each gorpus is a numpus.', 'Grom is a numpus.', 'Numpuses are not heavy.', 'Grom is not heavy.']",No,[],True,True
14,"Answer Yes or No to the following question. Answer as in the examples.
Wumpuses are blonde. Each gorpus is a grimpus. Each rompus is not crazy. Rompuses are not fast. Gorpuses are blonde. Each gorpus is crazy. Wumpuses are rompus. Trux is a wumpus. Trux is a grimpus.

Question: Is Trux crazy?

Answer: No


Lorpuses are blonde. Each grimpus is blonde. Wumpuses are hungry. Each grimpus is not hungry. Grimpuses are jompus. Each lorpus is a wumpus. Each wumpus is tall. Grom is a jompus. Grom is a lorpus.

Question: Is Grom hungry?

Answer: Yes


Impuses are not blonde. Grimpuses are blonde. Each wumpus is tall. Each grimpus is tall. Impuses are not luminous. Grimpuses are sterpus. Wumpuses are impus. Wren is a wumpus. Wren is a sterpus.

Question: Is Wren blonde?

Answer: No


Each gorpus is luminous. Gorpuses are heavy. Each grimpus is large. Wumpuses are gorpus. Each grimpus is not luminous. Each wumpus is large. Grimpuses are rompus. Wren is a rompus. Wren is a wumpus.

Question: Is Wren luminous?
",Yes,"['Wren is a wumpus.', 'Wumpuses are gorpus.', 'Wren is a gorpus.', 'Gorpuses are luminous.', 'Wren is luminous.']",No,[],False,True
15,"Answer Yes or No to the following question. Answer as in the examples.
Each numpus is fast. Zumpuses are sterpus. Sterpuses are not fast. Each numpus is not luminous. Each sterpus is not tall. Each zumpus is not luminous. Numpuses are brimpus. Wren is a brimpus. Wren is a zumpus.

Question: Is Wren fast?

Answer: No


Impuses are not large. Grimpuses are crazy. Each sterpus is not crazy. Each impus is a grimpus. Grimpuses are heavy. Each sterpus is not large. Sterpuses are dumpus. Grom is a dumpus. Grom is a impus.

Question: Is Grom crazy?

Answer: Yes


Dumpuses are yumpus. Each grimpus is luminous. Numpuses are grimpus. Each numpus is happy. Each dumpus is happy. Grimpuses are tall. Each dumpus is not tall. Trux is a numpus. Trux is a yumpus.

Question: Is Trux tall?

Answer: Yes


Yumpuses are not fast. Grimpuses are heavy. Shumpuses are heavy. Each shumpus is a yumpus. Each grimpus is large. Each yumpus is not large. Grimpuses are wumpus. Rast is a shumpus. Rast is a wumpus.

Question: Is Rast large?
",No,"['Rast is a shumpus.', 'Each shumpus is a yumpus.', 'Rast is a yumpus.', 'Each yumpus is not large.', 'Rast is not large.']",No,[],True,True
