,prompt,label,cot_gold,pred,cot_pred,correct_pred,correct_cot
0,"Answer Yes or No to the following question. Answer as in the examples.
Lorpuses are gorpus. Each gorpus is happy. Impuses are not heavy. Lorpuses are not blonde. Each impus is a sterpus. Each gorpus is heavy. Impuses are not blonde. Grom is a lorpus. Grom is a sterpus.

Question: Is Grom heavy?
Think step by step.

(1) Grom is a lorpus.
(2) Each lorpus is a gorpus.
(3) Grom is a gorpus.
(4) Gorpuses are heavy.
(5) Grom is heavy.
Answer: Yes


Each sterpus is a numpus. Each zumpus is not crazy. Zumpuses are not fast. Sterpuses are crazy. Sterpuses are luminous. Each rompus is luminous. Rompuses are zumpus. Grom is a numpus. Grom is a rompus.

Question: Is Grom crazy?
Think step by step.

(1) Grom is a rompus.
(2) Rompuses are zumpus.
(3) Grom is a zumpus.
(4) Zumpuses are not crazy.
(5) Grom is not crazy.
Answer: No


Each shumpus is large. Each gorpus is not fast. Each shumpus is a gorpus. Each gorpus is not luminous. Brimpuses are large. Brimpuses are tumpus. Brimpuses are fast. Rast is a shumpus. Rast is a tumpus.

Question: Is Rast fast?
Think step by step.

(1) Rast is a shumpus.
(2) Each shumpus is a gorpus.
(3) Rast is a gorpus.
(4) Each gorpus is not fast.
(5) Rast is not fast.
Answer: No


Lorpuses are lempus. Each yumpus is not happy. Lorpuses are not happy. Each jompus is large. Each jompus is not fast. Yumpuses are jompus. Lorpuses are fast. Grom is a yumpus. Grom is a lempus.

Question: Is Grom fast?
Think step by step.
",No,"['Grom is a yumpus.', 'Each yumpus is a jompus.', 'Grom is a jompus.', 'Each jompus is not fast.', 'Grom is not fast.']",Yes,"['Grom is a yumpus.', 'Yumpuses are jompus.', 'Grom is a jompus.', 'Each jompus is not fast.', 'Wait, no! Lorpuses are fast, and Grom is a lorpus (from the first question).', 'Grom is a lorpus.', 'Lorpuses are fast.', 'Grom is fast.']",False,False
1,"Answer Yes or No to the following question. Answer as in the examples.
Each sterpus is not luminous. Grimpuses are zumpus. Each grimpus is not luminous. Each zumpus is not tall. Each zumpus is large. Each sterpus is not large. Each sterpus is a yumpus. Trux is a grimpus. Trux is a yumpus.

Question: Is Trux large?
Think step by step.

(1) Trux is a grimpus.
(2) Each grimpus is a zumpus.
(3) Trux is a zumpus.
(4) Each zumpus is large.
(5) Trux is large.
Answer: Yes


Zumpuses are yumpus. Yumpuses are tall. Each wumpus is not happy. Zumpuses are not happy. Each wumpus is not tall. Each wumpus is a impus. Each yumpus is not luminous. Jinx is a impus. Jinx is a zumpus.

Question: Is Jinx tall?
Think step by step.

(1) Jinx is a zumpus.
(2) Each zumpus is a yumpus.
(3) Jinx is a yumpus.
(4) Yumpuses are tall.
(5) Jinx is tall.
Answer: Yes


Each gorpus is a shumpus. Grimpuses are not crazy. Each gorpus is crazy. Gorpuses are not tall. Grimpuses are not blonde. Impuses are not tall. Impuses are grimpus. Grom is a impus. Grom is a shumpus.

Question: Is Grom crazy?
Think step by step.

(1) Grom is a impus.
(2) Impuses are grimpus.
(3) Grom is a grimpus.
(4) Grimpuses are not crazy.
(5) Grom is not crazy.
Answer: No


Dumpuses are blonde. Zumpuses are crazy. Each zumpus is a sterpus. Each brimpus is not crazy. Brimpuses are not happy. Each zumpus is blonde. Dumpuses are brimpus. Jinx is a sterpus. Jinx is a dumpus.

Question: Is Jinx crazy?
Think step by step.
",No,"['Jinx is a dumpus.', 'Dumpuses are brimpus.', 'Jinx is a brimpus.', 'Each brimpus is not crazy.', 'Jinx is not crazy.']",No,"['Jinx is a dumpus.', 'Dumpuses are brimpus.', 'Jinx is a brimpus.', 'Each brimpus is not crazy.', 'Jinx is not crazy.']",True,True
2,"Answer Yes or No to the following question. Answer as in the examples.
Impuses are happy. Impuses are large. Gorpuses are not luminous. Each lorpus is not happy. Gorpuses are impus. Each lorpus is not luminous. Each lorpus is a lempus. Wren is a gorpus. Wren is a lempus.

Question: Is Wren happy?
Think step by step.

(1) Wren is a gorpus.
(2) Each gorpus is a impus.
(3) Wren is a impus.
(4) Impuses are happy.
(5) Wren is happy.
Answer: Yes


Each tumpus is not large. Each shumpus is a tumpus. Shumpuses are not tall. Dumpuses are brimpus. Each dumpus is not heavy. Dumpuses are not tall. Each tumpus is heavy. Grom is a brimpus. Grom is a shumpus.

Question: Is Grom heavy?
Think step by step.

(1) Grom is a shumpus.
(2) Shumpuses are tumpus.
(3) Grom is a tumpus.
(4) Tumpuses are heavy.
(5) Grom is heavy.
Answer: Yes


Grimpuses are happy. Each sterpus is tall. Each gorpus is a sterpus. Each gorpus is happy. Grimpuses are numpus. Grimpuses are not tall. Sterpuses are not hungry. Wren is a numpus. Wren is a gorpus.

Question: Is Wren tall?
Think step by step.

(1) Wren is a gorpus.
(2) Each gorpus is a sterpus.
(3) Wren is a sterpus.
(4) Sterpuses are tall.
(5) Wren is tall.
Answer: Yes


Each grimpus is not blonde. Numpuses are zumpus. Each wumpus is not heavy. Numpuses are not heavy. Numpuses are blonde. Grimpuses are not happy. Each wumpus is a grimpus. Trux is a wumpus. Trux is a zumpus.

Question: Is Trux blonde?
Think step by step.
",No,"['Trux is a wumpus.', 'Each wumpus is a grimpus.', 'Trux is a grimpus.', 'Each grimpus is not blonde.', 'Trux is not blonde.']",Yes,"['Trux is a zumpus.', 'Zumpuses are numpus.', 'Trux is a numpus.', 'Numpuses are blonde.', 'Trux is blonde.']",False,False
3,"Answer Yes or No to the following question. Answer as in the examples.
Lorpuses are luminous. Numpuses are heavy. Zumpuses are not heavy. Numpuses are tumpus. Each lorpus is a zumpus. Numpuses are luminous. Zumpuses are not happy. Jinx is a tumpus. Jinx is a lorpus.

Question: Is Jinx heavy?
Think step by step.

(1) Jinx is a lorpus.
(2) Lorpuses are zumpus.
(3) Jinx is a zumpus.
(4) Each zumpus is not heavy.
(5) Jinx is not heavy.
Answer: No


Each jompus is crazy. Each brimpus is crazy. Jompuses are lorpus. Jompuses are fast. Wumpuses are not luminous. Each wumpus is not fast. Each brimpus is a wumpus. Wren is a lorpus. Wren is a brimpus.

Question: Is Wren fast?
Think step by step.

(1) Wren is a brimpus.
(2) Each brimpus is a wumpus.
(3) Wren is a wumpus.
(4) Each wumpus is not fast.
(5) Wren is not fast.
Answer: No


Each sterpus is blonde. Each gorpus is not fast. Tumpuses are gorpus. Sterpuses are happy. Each sterpus is a impus. Each tumpus is happy. Gorpuses are not blonde. Jinx is a tumpus. Jinx is a impus.

Question: Is Jinx blonde?
Think step by step.

(1) Jinx is a tumpus.
(2) Tumpuses are gorpus.
(3) Jinx is a gorpus.
(4) Gorpuses are not blonde.
(5) Jinx is not blonde.
Answer: No


Yumpuses are brimpus. Yumpuses are not luminous. Each sterpus is not large. Yumpuses are large. Each sterpus is not fast. Grimpuses are sterpus. Each grimpus is not luminous. Rast is a brimpus. Rast is a grimpus.

Question: Is Rast large?
Think step by step.
",No,"['Rast is a grimpus.', 'Each grimpus is a sterpus.', 'Rast is a sterpus.', 'Sterpuses are not large.', 'Rast is not large.']",No,"['Rast is a grimpus.', 'Grimpuses are sterpus.', 'Rast is a sterpus.', 'Each sterpus is not large.', 'Rast is not large.']",True,False
4,"Answer Yes or No to the following question. Answer as in the examples.
Gorpuses are sterpus. Each tumpus is not fast. Each sterpus is tall. Gorpuses are not fast. Tumpuses are not tall. Sterpuses are not luminous. Each tumpus is a shumpus. Jinx is a shumpus. Jinx is a gorpus.

Question: Is Jinx tall?
Think step by step.

(1) Jinx is a gorpus.
(2) Gorpuses are sterpus.
(3) Jinx is a sterpus.
(4) Sterpuses are tall.
(5) Jinx is tall.
Answer: Yes


Gorpuses are not tall. Shumpuses are yumpus. Gorpuses are jompus. Each yumpus is tall. Shumpuses are fast. Each gorpus is fast. Yumpuses are luminous. Rast is a jompus. Rast is a shumpus.

Question: Is Rast tall?
Think step by step.

(1) Rast is a shumpus.
(2) Shumpuses are yumpus.
(3) Rast is a yumpus.
(4) Each yumpus is tall.
(5) Rast is tall.
Answer: Yes


Jompuses are not fast. Each rompus is a dumpus. Jompuses are blonde. Each dumpus is large. Dumpuses are not blonde. Jompuses are zumpus. Each rompus is not fast. Wren is a zumpus. Wren is a rompus.

Question: Is Wren blonde?
Think step by step.

(1) Wren is a rompus.
(2) Rompuses are dumpus.
(3) Wren is a dumpus.
(4) Each dumpus is not blonde.
(5) Wren is not blonde.
Answer: No


Numpuses are blonde. Each numpus is luminous. Numpuses are rompus. Each zumpus is a sterpus. Each sterpus is not hungry. Zumpuses are blonde. Each sterpus is not luminous. Rast is a rompus. Rast is a zumpus.

Question: Is Rast luminous?
Think step by step.
",No,"['Rast is a zumpus.', 'Each zumpus is a sterpus.', 'Rast is a sterpus.', 'Sterpuses are not luminous.', 'Rast is not luminous.']",Yes,"['Rast is a rompus.', 'Rompuses are numpus. (Not given, but we can infer from the fact that Numpuses are rompus)', 'Rast is a numpus.', 'Each numpus is luminous.', 'Rast is luminous.']",False,False
5,"Answer Yes or No to the following question. Answer as in the examples.
Jompuses are zumpus. Each zumpus is fast. Jompuses are large. Each vumpus is a rompus. Vumpuses are not fast. Each vumpus is large. Zumpuses are happy. Wren is a rompus. Wren is a jompus.

Question: Is Wren fast?
Think step by step.

(1) Wren is a jompus.
(2) Jompuses are zumpus.
(3) Wren is a zumpus.
(4) Zumpuses are fast.
(5) Wren is fast.
Answer: Yes


Zumpuses are happy. Each zumpus is a shumpus. Brimpuses are wumpus. Zumpuses are not heavy. Brimpuses are not heavy. Each wumpus is not happy. Wumpuses are tall. Trux is a shumpus. Trux is a brimpus.

Question: Is Trux happy?
Think step by step.

(1) Trux is a brimpus.
(2) Each brimpus is a wumpus.
(3) Trux is a wumpus.
(4) Each wumpus is not happy.
(5) Trux is not happy.
Answer: No


Each lorpus is heavy. Grimpuses are not hungry. Each grimpus is a lorpus. Impuses are fast. Impuses are shumpus. Each lorpus is not fast. Each impus is not hungry. Trux is a shumpus. Trux is a grimpus.

Question: Is Trux fast?
Think step by step.

(1) Trux is a grimpus.
(2) Each grimpus is a lorpus.
(3) Trux is a lorpus.
(4) Each lorpus is not fast.
(5) Trux is not fast.
Answer: No


Each rompus is a lempus. Each rompus is luminous. Numpuses are not heavy. Numpuses are luminous. Lempuses are tall. Numpuses are zumpus. Each lempus is heavy. Trux is a zumpus. Trux is a rompus.

Question: Is Trux heavy?
Think step by step.
",Yes,"['Trux is a rompus.', 'Rompuses are lempus.', 'Trux is a lempus.', 'Each lempus is heavy.', 'Trux is heavy.']",Yes,"['Trux is a rompus.', 'Each rompus is a lempus.', 'Trux is a lempus.', 'Each lempus is heavy.', 'Trux is heavy.']",True,False
6,"Answer Yes or No to the following question. Answer as in the examples.
Impuses are blonde. Each jompus is a brimpus. Impuses are hungry. Impuses are lempus. Each jompus is hungry. Each brimpus is not blonde. Each brimpus is crazy. Jinx is a jompus. Jinx is a lempus.

Question: Is Jinx blonde?
Think step by step.

(1) Jinx is a jompus.
(2) Jompuses are brimpus.
(3) Jinx is a brimpus.
(4) Each brimpus is not blonde.
(5) Jinx is not blonde.
Answer: No


Each grimpus is large. Grimpuses are dumpus. Each jompus is large. Each grimpus is not luminous. Each zumpus is luminous. Each jompus is a zumpus. Each zumpus is not happy. Grom is a jompus. Grom is a dumpus.

Question: Is Grom luminous?
Think step by step.

(1) Grom is a jompus.
(2) Each jompus is a zumpus.
(3) Grom is a zumpus.
(4) Each zumpus is luminous.
(5) Grom is luminous.
Answer: Yes


Wumpuses are luminous. Shumpuses are not blonde. Each grimpus is tall. Shumpuses are grimpus. Wumpuses are vumpus. Wumpuses are not blonde. Each grimpus is not luminous. Trux is a vumpus. Trux is a shumpus.

Question: Is Trux luminous?
Think step by step.

(1) Trux is a shumpus.
(2) Shumpuses are grimpus.
(3) Trux is a grimpus.
(4) Each grimpus is not luminous.
(5) Trux is not luminous.
Answer: No


Each rompus is a brimpus. Each brimpus is fast. Brimpuses are not heavy. Each dumpus is heavy. Each rompus is not crazy. Each dumpus is a lorpus. Each dumpus is not crazy. Trux is a lorpus. Trux is a rompus.

Question: Is Trux heavy?
Think step by step.
",No,"['Trux is a rompus.', 'Each rompus is a brimpus.', 'Trux is a brimpus.', 'Each brimpus is not heavy.', 'Trux is not heavy.']",No,"['Trux is a rompus.', 'Each rompus is a brimpus.', 'Trux is a brimpus.', 'Brimpuses are not heavy.', 'Trux is not heavy.']",True,False
7,"Answer Yes or No to the following question. Answer as in the examples.
Each lorpus is crazy. Each lorpus is not tall. Each lorpus is a yumpus. Each rompus is tall. Each jompus is crazy. Jompuses are rompus. Each rompus is happy. Trux is a yumpus. Trux is a jompus.

Question: Is Trux tall?
Think step by step.

(1) Trux is a jompus.
(2) Jompuses are rompus.
(3) Trux is a rompus.
(4) Rompuses are tall.
(5) Trux is tall.
Answer: Yes


Tumpuses are tall. Tumpuses are sterpus. Rompuses are not tall. Each tumpus is not large. Lorpuses are not large. Lorpuses are rompus. Rompuses are happy. Rast is a lorpus. Rast is a sterpus.

Question: Is Rast tall?
Think step by step.

(1) Rast is a lorpus.
(2) Each lorpus is a rompus.
(3) Rast is a rompus.
(4) Rompuses are not tall.
(5) Rast is not tall.
Answer: No


Lempuses are heavy. Tumpuses are not luminous. Lorpuses are luminous. Lempuses are lorpus. Tumpuses are sterpus. Tumpuses are heavy. Lorpuses are not large. Wren is a lempus. Wren is a sterpus.

Question: Is Wren luminous?
Think step by step.

(1) Wren is a lempus.
(2) Lempuses are lorpus.
(3) Wren is a lorpus.
(4) Each lorpus is luminous.
(5) Wren is luminous.
Answer: Yes


Numpuses are large. Numpuses are happy. Each lorpus is fast. Sterpuses are numpus. Each lorpus is a lempus. Sterpuses are fast. Each lorpus is not large. Wren is a lempus. Wren is a sterpus.

Question: Is Wren large?
Think step by step.
",Yes,"['Wren is a sterpus.', 'Sterpuses are numpus.', 'Wren is a numpus.', 'Numpuses are large.', 'Wren is large.']",Yes,"['Wren is a sterpus.', 'Sterpuses are numpus.', 'Wren is a numpus.', 'Numpuses are large.', 'Wren is large.']",True,True
8,"Answer Yes or No to the following question. Answer as in the examples.
Yumpuses are tall. Lempuses are not fast. Each lempus is not tall. Each numpus is a yumpus. Lempuses are dumpus. Each numpus is not fast. Each yumpus is blonde. Jinx is a numpus. Jinx is a dumpus.

Question: Is Jinx tall?
Think step by step.

(1) Jinx is a numpus.
(2) Each numpus is a yumpus.
(3) Jinx is a yumpus.
(4) Each yumpus is tall.
(5) Jinx is tall.
Answer: Yes


Each shumpus is crazy. Rompuses are not large. Each shumpus is heavy. Each grimpus is not large. Each grimpus is a lorpus. Rompuses are shumpus. Each grimpus is not crazy. Wren is a rompus. Wren is a lorpus.

Question: Is Wren crazy?
Think step by step.

(1) Wren is a rompus.
(2) Each rompus is a shumpus.
(3) Wren is a shumpus.
(4) Shumpuses are crazy.
(5) Wren is crazy.
Answer: Yes


Numpuses are not large. Tumpuses are brimpus. Each numpus is not happy. Each impus is a numpus. Each impus is not blonde. Each tumpus is happy. Each tumpus is not blonde. Wren is a brimpus. Wren is a impus.

Question: Is Wren happy?
Think step by step.

(1) Wren is a impus.
(2) Impuses are numpus.
(3) Wren is a numpus.
(4) Each numpus is not happy.
(5) Wren is not happy.
Answer: No


Vumpuses are wumpus. Each lorpus is happy. Each lorpus is a brimpus. Vumpuses are happy. Wumpuses are heavy. Wumpuses are not hungry. Lorpuses are hungry. Trux is a vumpus. Trux is a brimpus.

Question: Is Trux hungry?
Think step by step.
",No,"['Trux is a vumpus.', 'Vumpuses are wumpus.', 'Trux is a wumpus.', 'Wumpuses are not hungry.', 'Trux is not hungry.']",No,"['Trux is a vumpus.', 'Vumpuses are wumpus.', 'Trux is a wumpus.', 'Wumpuses are not hungry.', 'Trux is not hungry.']",True,True
9,"Answer Yes or No to the following question. Answer as in the examples.
Tumpuses are not fast. Yumpuses are luminous. Each lempus is a brimpus. Each lempus is not tall. Each lempus is not fast. Yumpuses are tall. Tumpuses are yumpus. Rast is a tumpus. Rast is a brimpus.

Question: Is Rast tall?
Think step by step.

(1) Rast is a tumpus.
(2) Each tumpus is a yumpus.
(3) Rast is a yumpus.
(4) Each yumpus is tall.
(5) Rast is tall.
Answer: Yes


Each grimpus is not tall. Each grimpus is a tumpus. Shumpuses are tall. Yumpuses are shumpus. Shumpuses are not crazy. Yumpuses are not fast. Each grimpus is not fast. Rast is a yumpus. Rast is a tumpus.

Question: Is Rast tall?
Think step by step.

(1) Rast is a yumpus.
(2) Yumpuses are shumpus.
(3) Rast is a shumpus.
(4) Each shumpus is tall.
(5) Rast is tall.
Answer: Yes


Each brimpus is not tall. Each brimpus is a wumpus. Zumpuses are not happy. Each zumpus is a shumpus. Shumpuses are tall. Brimpuses are not happy. Shumpuses are hungry. Wren is a zumpus. Wren is a wumpus.

Question: Is Wren tall?
Think step by step.

(1) Wren is a zumpus.
(2) Zumpuses are shumpus.
(3) Wren is a shumpus.
(4) Each shumpus is tall.
(5) Wren is tall.
Answer: Yes


Numpuses are not fast. Each brimpus is heavy. Rompuses are not fast. Each brimpus is not large. Each numpus is a brimpus. Each rompus is a sterpus. Each rompus is large. Rast is a numpus. Rast is a sterpus.

Question: Is Rast large?
Think step by step.
",No,"['Rast is a numpus.', 'Each numpus is a brimpus.', 'Rast is a brimpus.', 'Brimpuses are not large.', 'Rast is not large.']",No,"['Rast is a numpus.', 'Each numpus is a brimpus.', 'Rast is a brimpus.', 'Each brimpus is not large.', 'Rast is not large.']",True,False
